y=sin(x)             x                       y                     polinomeps
 0.00000000000000E+000    1.00000000000000E+000    1.00000000000000E+000    0.00000000000000E+000
 4.50000000000000E-002    1.04398767084784E+000    1.04471080273390E+000    7.23131886062545E-004
 9.00000000000000E-002    1.08595273301199E+000    1.08719870036229E+000    1.24596735029670E-003
 1.35000000000000E-001    1.12590133120455E+000    1.12750406337988E+000    1.60273217533158E-003
 1.80000000000000E-001    1.16384369278812E+000    1.16566707821246E+000    1.82338542433791E-003
 2.25000000000000E-001    1.19979410706894E+000    1.20172812976392E+000    1.93402269497200E-003
 2.70000000000000E-001    1.23377089636589E+000    1.23572814709842E+000    1.95725073253028E-003
 3.15000000000000E-001    1.26579637891405E+000    1.26770891376188E+000    1.91253484782239E-003
 3.60000000000000E-001    1.29589682367793E+000    1.29771334421974E+000    1.81652054180437E-003
 4.05000000000000E-001    1.32410239716577E+000    1.32578572786148E+000    1.68333069570759E-003
 4.50000000000000E-001    1.35044710235268E+000    1.35197194199497E+000    1.52483964229111E-003
 4.95000000000000E-001    1.37496870983620E+000    1.37631963522717E+000    1.35092539096604E-003
 5.40000000000000E-001    1.39770868136382E+000    1.39887838260075E+000    1.16970123692139E-003
 5.85000000000000E-001    1.41871208588704E+000    1.41969981382912E+000    9.87727942081351E-004
 6.30000000000000E-001    1.43802750831215E+000    1.43883771594590E+000    8.10207633749283E-004
 6.75000000000000E-001    1.45570695113245E+000    1.45634811165766E+000    6.41160525214346E-004
 7.20000000000000E-001    1.47180572914090E+000    1.47228931466231E+000    4.83585521415364E-004
 7.65000000000000E-001    1.48638235743661E+000    1.48672196316864E+000    3.39605732028847E-004
 8.10000000000000E-001    1.49949843295175E+000    1.49970903282584E+000    2.10599874097106E-004
 8.55000000000000E-001    1.51121850973880E+000    1.51131583024538E+000    9.73205065768479E-005
 9.00000000000001E-001    1.52160996827066E+000    1.52160996827066E+000    2.22044604925031E-016
 9.45000000000000E-001    1.53074287901822E+000    1.53066132412404E+000    8.15548941863753E-005
 9.90000000000001E-001    1.53868986058159E+000    1.53854198153355E+000    1.47879048034927E-004
 1.03500000000000E+000    1.54552593266223E+000    1.54532615791613E+000    1.99774746095338E-004
 1.08000000000000E+000    1.55132836417374E+000    1.55109011766722E+000    2.38246506524709E-004
 1.12500000000000E+000    1.55617651679867E+000    1.55591207258078E+000    2.64444217883630E-004
 1.17000000000000E+000    1.56015168430823E+000    1.55987207039773E+000    2.79613910503462E-004
 1.21500000000000E+000    1.56333692797022E+000    1.56305187245432E+000    2.85055515899302E-004
 1.26000000000000E+000    1.56581690837829E+000    1.56553482137677E+000    2.82087001517661E-004
 1.30500000000000E+000    1.56767771404321E+000    1.56740569974204E+000    2.72014301169188E-004
 1.35000000000000E+000    1.56900668709304E+000    1.56875058059931E+000    2.56106493728758E-004
 1.39500000000000E+000    1.56989224643515E+000    1.56965667072103E+000    2.35575714116143E-004
 1.44000000000000E+000    1.57042370873815E+000    1.57021214742697E+000    2.11561311177722E-004
 1.48500000000000E+000    1.57069110759617E+000    1.57050598979936E+000    1.85117796811074E-004
 1.53000000000000E+000    1.57078501124159E+000    1.57062780508201E+000    1.57206159579149E-004
